GSM202666.CEL	GSM202667.CEL	GSM202668.CEL	GSM202669.CEL	GSM202670.CEL	GSM202671.CEL	GSM202672.CEL	GSM202673.CEL	GSM202674.CEL	GSM202675.CEL	GSM202676.CEL	GSM202677.CEL	GSM202678.CEL	GSM202679.CEL	GSM202680.CEL	GSM202681.CEL	GSM202682.CEL	GSM202683.CEL	GSM202684.CEL	GSM202685.CEL	GSM202686.CEL	GSM202687.CEL	GSM202688.CEL	GSM202689.CEL	GSM202690.CEL	GSM202691.CEL	GSM202692.CEL	GSM202693.CEL	GSM202694.CEL	GSM202695.CEL	GSM202696.CEL	GSM202697.CEL	GSM202698.CEL	GSM202699.CEL	GSM202700.CEL	GSM202701.CEL	GSM202702.CEL	GSM202703.CEL	GSM202704.CEL	GSM202705.CEL
AFFX-18SRNAMur/X00686_3_at	P	P	P	P	A	A	A	A	P	P	A	M	A	A	A	A	M	A	P	A	A	A	A	A	A	M	A	M	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-18SRNAMur/X00686_5_at	P	P	P	P	A	A	A	A	P	P	A	P	A	A	A	A	P	P	P	P	P	A	A	A	P	P	P	P	A	A	A	A	P	P	A	A	A	A	A	A
AFFX-18SRNAMur/X00686_M_at	P	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-b-ActinMur/M12481_3_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-b-ActinMur/M12481_3_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-b-ActinMur/M12481_5_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-b-ActinMur/M12481_5_st	A	A	P	P	A	A	A	A	P	A	A	A	A	A	A	A	M	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A
AFFX-b-ActinMur/M12481_M_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-b-ActinMur/M12481_M_st	P	P	P	P	P	A	A	P	P	P	P	M	P	M	P	P	P	A	M	P	P	M	M	P	A	P	P	P	M	P	P	A	P	P	P	A	P	P	A	A
AFFX-BioB-3_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	P
AFFX-BioB-3_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-BioB-5_at	P	P	P	P	P	M	A	A	P	P	P	P	P	P	P	P	P	P	P	A	P	P	P	A	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	P
AFFX-BioB-5_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-BioB-M_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	A	P
AFFX-BioB-M_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-BioC-3_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-BioC-3_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-BioC-5_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-BioC-5_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-BioDn-3_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-BioDn-3_st	A	A	A	A	A	A	A	A	A	A	A	M	A	A	A	A	M	P	A	A	A	A	A	A	A	A	A	A	M	A	A	A	A	A	A	A	A	A	A	A
AFFX-BioDn-5_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-BioDn-5_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-CreX-3_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-CreX-3_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-CreX-5_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-CreX-5_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	M	A	A	A	A	A	A	P	P	P	A	M	A	A	A	P	A	A	A	P
AFFX-DapX-3_at	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-DapX-5_at	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A	A	A	A	A	A	A	M	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-DapX-M_at	A	A	A	A	A	A	A	A	A	A	A	M	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-GapdhMur/M32599_3_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-GapdhMur/M32599_3_st	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	P	A	A	A	A	A	A	A	A	A	A	A	P	A	A	P	A	A	A	A	A	A	A	A	A
AFFX-GapdhMur/M32599_5_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-GapdhMur/M32599_5_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-GapdhMur/M32599_M_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-GapdhMur/M32599_M_st	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-LysX-3_at	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	P
AFFX-LysX-5_at	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-LysX-M_at	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A
AFFX-MUR_b2_at	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P	P
AFFX-MurFAS_at	P	P	P	P	P	A	A	A	A	P	P	P	A	A	A	P	A	A	A	A	A	P	M	A	A	A	P	A	A	A	A	A	A	A	A	A	P	P	P	P
