#name	chrom	strand	txStart	txEnd
ENSMUST00000072177_at	chr1	+	134212713	134229865
ENSMUST00000082125_at	chr1	+	134212713	134229865
ENSMUST00000115488_at	chr1	-	8352741	8794052
ENSMUST00000027042_at	chr1	-	8353263	8672439
ENSMUST00000115484_at	chr1	-	8353263	8460515
ENSMUST00000041838_at	chr1	-	25124395	25883605
ENSMUST00000027312_at	chr1	-	33510658	33726600
ENSMUST00000097795_at	chr1	-	33535786	33678986
ENSMUST00000055313_at	chr1	-	58714964	58752801
ENSMUST00000113567_at	chr1	-	75482399	75502936
ENSMUST00000064469_at	chr1	-	75483206	75502932
ENSMUST00000027412_at	chr1	-	75487751	75502932
ENSMUST00000077880_at	chr1	-	75487751	75502932
ENSMUST00000113565_at	chr1	-	75492918	75502936
ENSMUST00000086694_at	chr1	-	109050537	109057691
ENSMUST00000112606_at	chr1	-	125228718	125942136
ENSMUST00000112603_at	chr1	-	125228718	125941832
ENSMUST00000035420_at	chr1	-	125228721	125942129
ENSMUST00000005907_at	chr1	+	167718819	167792243
ENSMUST00000111431_at	chr1	+	167718819	167799195
ENSMUST00000086002_at	chr1	+	167718819	167799253
ENSMUST00000027849_at	chr1	+	167718853	167797565
ENSMUST00000027817_at	chr1	+	176102998	176178198
ENSMUST00000048941_at	chr1	+	184495142	184562483
ENSMUST00000035577_at	chr1	-	10314807	10710024
ENSMUST00000048613_at	chr1	+	11404192	11965982
ENSMUST00000027071_at	chr1	-	13616839	13650601
ENSMUST00000038447_at	chr1	+	20941768	20980920
ENSMUST00000115216_at	chr1	+	27099345	27286771
ENSMUST00000027226_at	chr1	+	32229571	32715128
ENSMUST00000115071_at	chr1	-	34600819	34617788
ENSMUST00000114981_at	chr1	-	36656807	36740028
ENSMUST00000057826_at	chr1	-	36656821	36739982
ENSMUST00000061505_at	chr1	-	37668521	37776656
ENSMUST00000114917_at	chr1	-	37671324	37776656
ENSMUST00000114765_at	chr1	+	40862445	40912112
ENSMUST00000087933_at	chr1	+	43990846	44059844
ENSMUST00000097767_at	chr1	+	43990846	44059844
ENSMUST00000078657_at	chr1	+	46135352	46181367
ENSMUST00000087680_at	chr1	-	53453852	53525571
ENSMUST00000097735_at	chr1	+	55463231	55753524
ENSMUST00000027174_at	chr1	+	59741852	59768968
ENSMUST00000027165_at	chr1	+	60803309	60830203
ENSMUST00000075374_at	chr1	+	61685397	62688858
ENSMUST00000063725_at	chr1	+	61685816	62684497
ENSMUST00000046673_at	chr1	+	61685816	62684497
ENSMUST00000094906_at	chr1	+	61685816	62688858
ENSMUST00000121473_at	chr1	-	68078759	69154633
ENSMUST00000119142_at	chr1	-	68078759	69154330
ENSMUST00000081091_at	chr1	-	68086614	68787111
ENSMUST00000082184_at	chr1	-	68086614	68787111
ENSMUST00000097703_at	chr1	-	68086614	68787111
ENSMUST00000065425_at	chr1	+	69873561	70771516
ENSMUST00000087282_at	chr1	+	70043375	70327447
ENSMUST00000087268_at	chr1	-	71289873	71461484
ENSMUST00000097681_at	chr1	-	80500161	80755128
ENSMUST00000113444_at	chr1	+	82836057	82892850
ENSMUST00000063380_at	chr1	+	82836057	82892850
ENSMUST00000113443_at	chr1	+	82836057	82892850
ENSMUST00000113309_at	chr1	+	88051354	88174859
ENSMUST00000027434_at	chr1	+	88051354	88174859
ENSMUST00000050876_at	chr1	+	89110488	89131286
ENSMUST00000113235_at	chr1	+	89110488	89137063
ENSMUST00000113236_at	chr1	+	89110550	89129283
ENSMUST00000076362_at	chr1	+	89110550	89134460
ENSMUST00000069620_at	chr1	-	93312560	93355907
ENSMUST00000112909_at	chr1	+	95375817	95518358
ENSMUST00000120301_at	chr1	+	95408655	95518553
ENSMUST00000122402_at	chr1	+	95408688	95477873
ENSMUST00000043336_at	chr1	-	97484260	97564166
ENSMUST00000112845_at	chr1	-	99602624	99666988
ENSMUST00000042509_at	chr1	-	99602736	99666605
ENSMUST00000086738_at	chr1	+	101669341	102382519
ENSMUST00000064091_at	chr1	-	121554668	121733648
ENSMUST00000112583_at	chr1	-	127810213	128727209
ENSMUST00000057846_at	chr1	-	127810213	128389504
ENSMUST00000036288_at	chr1	+	129999882	130134312
ENSMUST00000097596_at	chr1	+	129999882	130134312
ENSMUST00000062108_at	chr1	-	133151178	133176140
ENSMUST00000094555_at	chr1	+	135260410	135276892
ENSMUST00000097030_at	chr1	+	135260410	135269892
ENSMUST00000112237_at	chr1	+	136312032	136329925
ENSMUST00000027727_at	chr1	+	136312056	136328910
ENSMUST00000040599_at	chr1	-	137335449	137482286
ENSMUST00000067414_at	chr1	-	137338260	137503872
ENSMUST00000047817_at	chr1	+	138364534	138428088
ENSMUST00000027642_at	chr1	-	140381290	140516273
ENSMUST00000046110_at	chr1	+	160292486	160621917
ENSMUST00000111640_at	chr1	-	162187335	162723069
ENSMUST00000028049_at	chr1	-	162187335	162723069
ENSMUST00000046646_at	chr1	-	164601915	164670687
ENSMUST00000028016_at	chr1	-	164601915	164670687
ENSMUST00000046632_at	chr1	-	164603019	164628402
ENSMUST00000027985_at	chr1	-	171907776	172040692
ENSMUST00000111252_at	chr1	+	174056902	174065911
ENSMUST00000075895_at	chr1	+	174056902	174065911
ENSMUST00000027812_at	chr1	-	176989874	177421261
ENSMUST00000085853_at	chr1	-	176996771	177421261
ENSMUST00000027775_at	chr1	+	180336230	180411764
ENSMUST00000068437_at	chr1	-	180885176	181448082
ENSMUST00000111134_at	chr1	-	181325354	181448172
ENSMUST00000111133_at	chr1	-	181341160	181448150
ENSMUST00000068725_at	chr1	-	186637572	186669727
ENSMUST00000110939_at	chr1	+	189432907	190038265
ENSMUST00000070533_at	chr1	-	3206102	3661429
ENSMUST00000081551_at	chr1	+	4847883	4887983
ENSMUST00000118000_at	chr1	-	4899656	5060366
ENSMUST00000002533_at	chr1	-	4899656	5009460
ENSMUST00000119256_at	chr1	-	4900482	5008816
ENSMUST00000044369_at	chr1	+	5073232	5152526
ENSMUST00000043578_at	chr1	+	6720131	6851021
ENSMUST00000115480_at	chr1	-	9550912	9621173
ENSMUST00000097826_at	chr1	+	9788233	9889929
ENSMUST00000097825_at	chr1	+	9788233	9889929
ENSMUST00000027049_at	chr1	-	9958712	9999217
ENSMUST00000071087_at	chr1	+	10028298	10126847
ENSMUST00000027056_at	chr1	+	10983545	11288582
ENSMUST00000088585_at	chr1	+	12708609	12850458
ENSMUST00000066698_at	chr1	+	12786845	12849710
ENSMUST00000115403_at	chr1	-	12856632	12981216
ENSMUST00000115401_at	chr1	-	12856632	12981216
ENSMUST00000115402_at	chr1	-	12861428	12981258
ENSMUST00000047828_at	chr1	-	12871181	12981216
ENSMUST00000115400_at	chr1	-	13103508	13117244
ENSMUST00000047577_at	chr1	-	13103508	13117244
ENSMUST00000081713_at	chr1	-	13129185	13362520
ENSMUST00000006037_at	chr1	-	13129239	13364164
ENSMUST00000068304_at	chr1	-	13129239	13364164
ENSMUST00000080664_at	chr1	-	14159034	14300281
ENSMUST00000027066_at	chr1	-	14159034	14300281
ENSMUST00000040695_at	chr1	-	15843942	15882803
ENSMUST00000027053_at	chr1	+	16095962	16122630
ENSMUST00000027052_at	chr1	-	16218890	16509317
ENSMUST00000054668_at	chr1	-	16218890	16509317
ENSMUST00000116646_at	chr1	-	16335774	16509322
ENSMUST00000115352_at	chr1	-	16632848	16646946
ENSMUST00000038382_at	chr1	-	16987444	17087970
ENSMUST00000037294_at	chr1	+	19093100	19156406
ENSMUST00000060305_at	chr1	-	20047859	20608138
ENSMUST00000088448_at	chr1	-	20047859	20608138
ENSMUST00000121676_at	chr1	+	21230687	21255102
ENSMUST00000027067_at	chr1	+	21230693	21255291
ENSMUST00000029667_at	chr1	-	21388483	21951662
ENSMUST00000115300_at	chr1	-	21388488	21952023
ENSMUST00000115299_at	chr1	-	21456325	21951746
ENSMUST00000097811_at	chr1	-	22276331	22603422
ENSMUST00000097810_at	chr1	-	22276331	22603422
ENSMUST00000097809_at	chr1	-	22276331	22603422
ENSMUST00000115273_at	chr1	-	22276331	22603422
ENSMUST00000081544_at	chr1	-	22276331	22603422
ENSMUST00000097808_at	chr1	-	22278502	22812563
ENSMUST00000088389_at	chr1	-	22540793	22603601
ENSMUST00000080230_at	chr1	-	22540794	22604246
ENSMUST00000063663_at	chr1	+	23768856	23855432
ENSMUST00000027339_at	chr1	-	23852465	23929128
ENSMUST00000054588_at	chr1	+	24184543	24259184
ENSMUST00000088349_at	chr1	+	24202025	24259523
ENSMUST00000115252_at	chr1	+	24202218	24259184
ENSMUST00000115244_at	chr1	-	24264521	24594276
ENSMUST00000051344_at	chr1	-	24286608	24594250
ENSMUST00000095062_at	chr1	+	24685382	24823144
ENSMUST00000088320_at	chr1	-	25544188	25616712
ENSMUST00000097801_at	chr1	-	26738658	26744305
ENSMUST00000059937_at	chr1	-	28832988	28837097
ENSMUST00000115161_at	chr1	-	33908896	33964635
ENSMUST00000062289_at	chr1	-	33908899	33964604
ENSMUST00000088270_at	chr1	+	33965124	34239881
